x,y,row,col,name,index,mapped_row,mapped_col
-27.888591766357422,73.1394271850586,262,143,124_NORDENSKIOLD_NE,87,261,151
-55.15590286254883,73.49586486816406,279,80,125_KAKIVFAAT_SERMIAT,88,280,80
-54.91914367675781,73.4158935546875,278,80,126_KAKIVFAAT_SERMIAT,89,280,80
-27.588233947753906,72.83757019042969,260,144,127_HISINGER_GLETSCHER,90,261,151
-55.035972595214844,73.27218627929688,277,79,128_NUNATAKASSAAP_SERMIA,91,279,79
-54.54855728149414,73.08177185058594,276,80,129_UPERNAVIK_ISSTROM_N,92,279,79
-54.24965286254883,73.06501770019531,275,80,130_UPERNAVIK_ISSTROM_N,93,279,79
-54.13172149658203,72.9423828125,274,80,131_UPERNAVIK_ISSTROM_C,94,277,77
-54.12641143798828,72.85292053222656,274,80,132_UPERNAVIK_ISSTROM_S,95,277,77
-54.09516143798828,72.76105499267578,273,80,133_UPERNAVIK_ISSTROM_SS,96,277,77
-28.756498336791992,72.15526580810547,255,141,134_F_GRAAE,97,260,151
-29.054691314697266,72.05216979980469,254,140,135_CHARCOT,98,250,150
-28.701374053955078,71.8853759765625,253,141,136_DAUGAARD-JENSEN,99,250,150
-52.47891616821289,72.10225677490234,266,81,137_INNGIA_ISBRAE,100,266,79
-52.378211975097656,71.77900695800781,263,80,138_UMIAMMAKKU_ISBRAE,101,264,80
-51.47702407836914,71.78965759277344,264,83,139_RINK_ISBRAE,102,264,80
-28.407180786132812,71.00717163085938,246,141,140_EIELSON_HARE_FJORD-ROLIGE,103,243,147
-51.20264434814453,71.467529296875,260,82,141_KANGERLUSSUUP_SERMERSUA,104,259,81
-23.606849670410156,70.06614685058594,239,153,142_GEIKIE3,105,241,154
-24.52574920654297,70.17233276367188,240,151,144_GEIKIE3,106,242,152
-23.837696075439453,70.08140563964844,239,153,145_GEIKIE3,107,241,154
-28.423452377319336,70.57365417480469,243,141,146_EIELSON_HARE_FJORD-ROLIGE,108,243,147
-25.179460525512695,70.21925354003906,240,149,147_BREDEGLETSJER,109,242,152
-26.346372604370117,70.14645385742188,240,146,148_SYDBR,110,242,147
-50.714698791503906,70.98451232910156,256,82,149_SERMEQ_SILARLEQ,111,259,81
-29.22279167175293,70.35393524169922,241,138,150_VESTFJORD,112,242,147
-50.66560363769531,70.859619140625,256,82,151_SERMEQ_SILARLEQ,113,259,81
-27.172700881958008,69.93731689453125,239,144,152_MAGGA_DAN_GLETSCHER,114,242,147
-50.537689208984375,70.78065490722656,255,82,153_CW_NONAME2,115,257,80
-27.572927474975586,69.948974609375,239,143,154_GEIKIE_UNNAMED_VESTFORD_S,116,242,147
-27.85983657836914,69.9645767211914,239,142,155_GEIKIE_UNNAMED_VESTFORD_S,117,242,147
-28.070581436157227,69.97357940673828,239,141,156_GEIKIE_UNNAMED_VESTFORD_S,118,242,147
-50.53971481323242,70.67586517333984,254,82,157_LILLE_GLETSCHER,119,257,80
-50.46601867675781,70.57173156738281,254,82,158_LILLE_GLETSCHER,120,257,80
